"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 19 06:47:09 CST 2023","Wed Apr 19 06:47:09 CST 2023","1","test_case","test_case","","","","test_01[data1]",""
"passed","Wed Apr 19 06:47:09 CST 2023","Wed Apr 19 06:47:09 CST 2023","1","test_case","test_case","","","","test_01[data0]",""
"passed","Wed Apr 19 06:47:09 CST 2023","Wed Apr 19 06:47:10 CST 2023","1737","test_case","test_case","","","","百度搜索","
        百度搜索
        :param browser:
        :param data:
        :return:
    "
"failed","Wed Apr 19 06:47:10 CST 2023","Wed Apr 19 06:47:11 CST 2023","701","test_case","test_case","","","","百度搜索","
        百度搜索
        :param browser:
        :param data:
        :return:
    "
